startup_name,year_of_failure,funding_raised,category,failure_reason,data_source,title,source
Snapdeal (partial),2017,$1.65B,E-Commerce,"Lost to Flipkart/Amazon, massive layoffs",curated,"Snapdeal (partial) - Lost to Flipkart/Amazon, massive layoffs",Known Failures Database
AskMe,2016,$300M,E-Commerce,"Funding dried up, investor disputes",curated,"AskMe - Funding dried up, investor disputes",Known Failures Database
PepperTap,2016,$51M,E-Commerce/Grocery,"Unit economics failed, shut operations",curated,"PepperTap - Unit economics failed, shut operations",Known Failures Database
LocalBanya,2015,$10M,E-Commerce/Grocery,Couldn't sustain operations,curated,LocalBanya - Couldn't sustain operations,Known Failures Database
Yebhi,2016,$35M,E-Commerce,"Market competition, funding issues",curated,"Yebhi - Market competition, funding issues",Known Failures Database
Fashionara,2016,$5M,E-Commerce/Fashion,Failed to compete,curated,Fashionara - Failed to compete,Known Failures Database
Doodhwala,2019,$2.2M,E-Commerce/Dairy,Operational challenges,curated,Doodhwala - Operational challenges,Known Failures Database
ShopClues (decline),2019,$260M,E-Commerce,Sold at massive loss to Qoo10,curated,ShopClues (decline) - Sold at massive loss to Qoo10,Known Failures Database
Quikr Assured,2018,-,E-Commerce,Service discontinued,curated,Quikr Assured - Service discontinued,Known Failures Database
Tolexo,2017,-,B2B E-Commerce,IndiaMART shut it down,curated,Tolexo - IndiaMART shut it down,Known Failures Database
TinyOwl,2016,$27M,Food Delivery,"Merged with Runnr, then failed",curated,"TinyOwl - Merged with Runnr, then failed",Known Failures Database
Dazo,2016,$5M,Food Delivery,Bangalore operations shut,curated,Dazo - Bangalore operations shut,Known Failures Database
Spoonjoy,2015,$1M,Food Delivery,Couldn't scale,curated,Spoonjoy - Couldn't scale,Known Failures Database
Eatlo,2015,$400K,Food Delivery,Competition from Swiggy/Zomato,curated,Eatlo - Competition from Swiggy/Zomato,Known Failures Database
Zomato Instant,2022,-,Food Delivery,10-min delivery discontinued,curated,Zomato Instant - 10-min delivery discontinued,Known Failures Database
Grofers (pivoted),2021,$600M,Grocery Delivery,"Rebranded to Blinkit, sold to Zomato",curated,"Grofers (pivoted) - Rebranded to Blinkit, sold to Zomato",Known Failures Database
Runnr,2017,$7M,Food Delivery,Merged into Zomato,curated,Runnr - Merged into Zomato,Known Failures Database
JustRide,2016,$5M,Ride-hailing,Lost to Ola/Uber,curated,JustRide - Lost to Ola/Uber,Known Failures Database
Meru Cabs,2020,$100M,Ride-hailing,"Massive decline, sold assets",curated,"Meru Cabs - Massive decline, sold assets",Known Failures Database
Jugnoo,2020,$17M,Auto-rickshaw,Failed to sustain,curated,Jugnoo - Failed to sustain,Known Failures Database
Zipgo,2017,$3M,Bus shuttle,Shut operations,curated,Zipgo - Shut operations,Known Failures Database
Ridlr,2021,$6M,Public transport,Ola sold/shut it,curated,Ridlr - Ola sold/shut it,Known Failures Database
BluSmart,2024,$200M,EV Mobility,Operational issues and mismanagement,curated,BluSmart - Operational issues and mismanagement,Known Failures Database
