startup_name,year_died,funding_burned_usd,category,failure_reason,headquarters,founders,investors,source
Byju's,2024.0,5500000000.0,EdTech,"Debt crisis, multiple lawsuits, insolvency proceedings, governance issues",Bangalore,,"Prosus, Tiger Global, General Atlantic, Sequoia",https://economictimes.indiatimes.com/tech/startups/byjus-crisis
Udaan,2024.0,1850000000.0,B2B E-commerce,"Massive losses, down rounds, layoffs, pivot struggles",Bangalore,,"DST Global, Lightspeed, GGV Capital",https://entrackr.com/2024/udaan-struggles-layoffs/
Zepto,2026.0,1300000000.0,Quick Commerce,"Cash burn concerns, competition from Blinkit/Instamart",Mumbai,,"Y Combinator, Nexus, Glade Brook",https://inc42.com/buzz/zepto-2026-challenges/
Pharmeasy,2025.0,1200000000.0,HealthTech / Pharmacy,"IPO shelved, valuation crashed from $5.6B to $700M, layoffs",Mumbai,,"Temasek, Prosus, TPG",https://inc42.com/buzz/pharmeasy-valuation-crash/
Meesho (Mass Layoffs),2026.0,1100000000.0,Social Commerce,"Large-scale layoffs, profitability pressure",Bangalore,,"SoftBank, Prosus, Facebook",https://inc42.com/buzz/meesho-layoffs-2026/
ShareChat (Major Crisis),2024.0,1100000000.0,Social Media,"500+ layoffs, shut down fantasy gaming, valuation crash",Bangalore,,"Google, Tiger Global, Snap Inc.",https://techcrunch.com/2024/sharechat-layoffs/
Cars24,2025.0,900000000.0,Used Cars Marketplace,"International exit, heavy layoffs, valuation drop",Gurugram,,"DST Global, SoftBank, Yuri Milner",https://yourstory.com/2025/cars24-crisis
Unacademy,2025.0,880000000.0,EdTech,"Continuous layoffs, shut down group companies, pivot struggles",Bangalore,,"SoftBank, General Atlantic, Tiger Global",https://entrackr.com/2025/unacademy-shutdown/
Ola Electric (Crisis),2024.0,800000000.0,Electric Vehicles,"Service issues, regulatory problems, stock crash post-IPO",Bangalore,,"SoftBank, Tiger Global",https://www.livemint.com/companies/ola-electric-troubles/
BharatPe (Founder Exit),2024.0,650000000.0,FinTech,"Founder ousted for fraud, governance crisis, lawsuits",Delhi NCR,,"Sequoia, Coatue, Tiger Global",https://inc42.com/buzz/bharatpe-ashneer-grover-crisis/
