year,funding_usd,source,startup_name,failure_reason
2023,5800000000.0,curated,BYJU'S (crisis),"Massive layoffs, valuation crash"
2020,3400000000.0,curated,Oyo Rooms (crisis),"Massive layoffs, valuation crash"
2024,1850000000.0,curated,Udaan,"Massive losses, down rounds, layoffs, pivot struggles"
2017,1650000000.0,curated,Snapdeal (partial),"Lost to Flipkart/Amazon, massive layoffs"
2026,1300000000.0,curated,Zepto,"Cash burn concerns, competition from Blinkit/Instamart"
2025,1200000000.0,curated,Pharmeasy,"IPO shelved, valuation crashed from $5.6B to $700M, layoffs"
2026,1100000000.0,curated,Meesho,"Large-scale layoffs, profitability pressure"
2024,1100000000.0,curated,ShareChat,"500+ layoffs, shut down fantasy gaming, valuation crash"
2025,900000000.0,curated,Cars24,"International exit, heavy layoffs, valuation drop"
2025,880000000.0,curated,Unacademy,"Continuous layoffs, shut down group companies, pivot struggles"
2024,800000000.0,curated,Ola Electric,"Service issues, regulatory problems, stock crash post-IPO"
2024,650000000.0,curated,BharatPe,"Founder ousted for fraud, governance crisis, lawsuits"
2022,650000000.0,curated,Curefit (layoffs),"Layoffs, restructuring"
2021,600000000.0,curated,Grofers (pivoted),"Rebranded to Blinkit, sold to Zomato"
2025,560000000.0,curated,Zetwerk,"Layoffs, margin pressures"
2023,500000000.0,curated,Mobile Premier League,Layoffs
2023,500000000.0,curated,Dhani,"Major layoffs, pivot"
2024,500000000.0,curated,Good Glamm Group,"Heavy debt, founder exit, brand shutdowns, layoffs"
2025,500000000.0,curated,OfBusiness,"Layoffs, growth slowdown"
2026,500000000.0,curated,Urban Company,"IPO struggles, partner unrest, layoffs"
2024,490000000.0,curated,Licious,"Multiple layoff rounds, profitability struggles"
2025,475000000.0,curated,Spinny,"Layoffs, market slowdown, profitability pressure"
2025,450000000.0,curated,MPL,"GST issues, layoffs, regulatory challenges"
2024,450000000.0,curated,Dunzo,"Cash crunch, failed Reliance acquisition talks, massive layoffs"
2024,425000000.0,curated,Innovaccer,"Major layoffs, market challenges"
2022,420000000.0,curated,UrbanClap/Urban Company (layoffs),Layoffs
2026,400000000.0,curated,Groww,"Regulatory pressures, growth challenges"
2026,361000000.0,curated,NoBroker,"Layoffs, market slowdown, profitability issues"
2026,330000000.0,curated,Rapido,"Regulatory issues, profitability struggles"
2025,300000000.0,curated,PhysicsWallah,"Centers shutting down, layoffs, profitability issues"
2024,300000000.0,curated,Mensa Brands,"Brand shutdowns, layoffs, failed acquisitions"
2016,300000000.0,curated,AskMe,"Funding dried up, investor disputes"
2022,300000000.0,curated,Zilingo,"Shut down, fraud allegations"
2022,300000000.0,curated,WhiteHat Jr (Crisis),"Byju's acquisition led to layoffs, brand struggling"
2022,291000000.0,curated,Vedantu,Major layoffs
2021,261000000.0,curated,Hike Messenger,Couldn't compete with WhatsApp
2019,260000000.0,curated,ShopClues (decline),Sold at massive loss to Qoo10
2025,250000000.0,curated,Purplle,"Layoffs, profitability pressure, competition from Nykaa"
2022,235000000.0,curated,Pepperfry,Layoffs
2018,220000000.0,curated,Jabong,Brand discontinued after Flipkart acquisition of Myntra
2023,220000000.0,curated,Slice,"RBI restrictions, layoffs"
2024,200000000.0,curated,BluSmart,Operational issues and mismanagement
2025,200000000.0,curated,Pocket FM,"Layoffs, unit economics challenges"
