startup_name,year_died,funding_burned_usd,category,failure_reason,source,headquarters,founded,investors
Dunzo,2024,450000000,Quick Commerce / Delivery,"Cash crunch, failed Reliance acquisition talks, massive layoffs",https://inc42.com/buzz/dunzo-lays-off-75-workforce-amid-cash-crunch/,Bangalore,2015,"Reliance Retail, Google, Lightbox"
Byju's,2024,5500000000,EdTech,"Debt crisis, multiple lawsuits, insolvency proceedings, governance issues",https://economictimes.indiatimes.com/tech/startups/byjus-crisis,Bangalore,2011,"Prosus, Tiger Global, General Atlantic, Sequoia"
BluSmart,2024,200000000,Electric Mobility / Ride-hailing,"Financial irregularities, founder fraud allegations, operations suspended",https://inc42.com/buzz/blusmart-crisis-founders-financial-fraud/,Delhi NCR,2019,"BP Ventures, Responsiblity, Green Frontier Capital"
Udaan,2024,1850000000,B2B E-commerce,"Massive losses, down rounds, layoffs, pivot struggles",https://entrackr.com/2024/udaan-struggles-layoffs/,Bangalore,2016,"DST Global, Lightspeed, GGV Capital"
Ola Electric (Crisis),2024,800000000,Electric Vehicles,"Service issues, regulatory problems, stock crash post-IPO",https://www.livemint.com/companies/ola-electric-troubles/,Bangalore,2017,"SoftBank, Tiger Global"
Mojocare,2024,20000000,HealthTech / Men's Health,"Shut down operations, failed to raise follow-on funding",https://inc42.com/buzz/mojocare-shuts-down/,Bangalore,2020,"Chiratae Ventures, B Capital"
Trell,2024,62000000,Social Commerce / Short Video,"Shut down app, failed pivot, couldn't compete with Instagram/YouTube",https://inc42.com/buzz/trell-shuts-down-social-commerce/,Bangalore,2017,"Sequoia, Mirae Asset, H&M Group"
Zilingo,2024,300000000,Fashion E-commerce,"Accounting fraud, CEO fired, company liquidated",https://www.forbes.com/sites/zilingo-shutdown/,Singapore/India,2015,"Sequoia, Temasek, SoftBank"
LEAD School,2024,160000000,EdTech,"Mass layoffs, business model struggles, funding winter",https://inc42.com/buzz/lead-school-layoffs/,Mumbai,2012,"WestBridge Capital, Elevar Equity, GSV Ventures"
Good Glamm Group (Crisis),2024,500000000,D2C Beauty / E-commerce,"Heavy debt, founder exit, brand shutdowns, layoffs",https://entrackr.com/2024/good-glamm-crisis/,Mumbai,2015,"Warburg Pincus, Prosus, L'Oreal"
Licious (Layoffs),2024,490000000,D2C Meat Delivery,"Multiple layoff rounds, profitability struggles",https://inc42.com/buzz/licious-layoffs-2024/,Bangalore,2015,"Temasek, Multiples PE, 3one4 Capital"
ShareChat (Major Crisis),2024,1100000000,Social Media,"500+ layoffs, shut down fantasy gaming, valuation crash",https://techcrunch.com/2024/sharechat-layoffs/,Bangalore,2015,"Google, Tiger Global, Snap Inc."
Mensa Brands (Crisis),2024,300000000,D2C Rollup,"Brand shutdowns, layoffs, failed acquisitions",https://entrackr.com/2024/mensa-brands-shutdowns/,Bangalore,2021,"Accel, Falcon Edge, Norwest"
Innovaccer (Layoffs),2024,425000000,HealthTech SaaS,"Major layoffs, market challenges",https://yourstory.com/2024/innovaccer-layoffs,San Francisco/Noida,2014,"Tiger Global, Steadview Capital"
BharatPe (Founder Exit),2024,650000000,FinTech,"Founder ousted for fraud, governance crisis, lawsuits",https://inc42.com/buzz/bharatpe-ashneer-grover-crisis/,Delhi NCR,2018,"Sequoia, Coatue, Tiger Global"
PhysicsWallah (Alakh Pandey Crisis),2025,300000000,EdTech,"Centers shutting down, layoffs, profitability issues",https://inc42.com/buzz/physicswallah-centers-shut/,Noida,2014,"WestBridge Capital, GSV Ventures"
Unacademy,2025,880000000,EdTech,"Continuous layoffs, shut down group companies, pivot struggles",https://entrackr.com/2025/unacademy-shutdown/,Bangalore,2015,"SoftBank, General Atlantic, Tiger Global"
MPL (Mobile Premier League),2025,450000000,Gaming / E-sports,"GST issues, layoffs, regulatory challenges",https://inc42.com/buzz/mpl-layoffs-2025/,Bangalore,2018,"Sequoia, SIG, Go-Ventures"
