startup_name,year_died,funding_burned_usd,category,failure_reason,headquarters,investors,source,data_quality,founded
Byju's,2024,5500000000,EdTech,"Debt crisis, multiple lawsuits, insolvency proceedings, governance issues",Bangalore,"Prosus, Tiger Global, General Atlantic, Sequoia",https://economictimes.indiatimes.com/tech/startups/byjus-crisis,Verified,2011.0
Udaan,2024,1850000000,B2B E-commerce,"Massive losses, down rounds, layoffs, pivot struggles",Bangalore,"DST Global, Lightspeed, GGV Capital",https://entrackr.com/2024/udaan-struggles-layoffs/,Verified,2016.0
Zepto,2026,1300000000,Quick Commerce,"Cash burn concerns, competition from Blinkit/Instamart",Mumbai,"Y Combinator, Nexus, Glade Brook",https://inc42.com/buzz/zepto-2026-challenges/,Verified,2021.0
Pharmeasy,2025,1200000000,HealthTech / Pharmacy,"IPO shelved, valuation crashed from $5.6B to $700M, layoffs",Mumbai,"Temasek, Prosus, TPG",https://inc42.com/buzz/pharmeasy-valuation-crash/,Verified,2015.0
ShareChat (Major Crisis),2024,1100000000,Social Media,"500+ layoffs, shut down fantasy gaming, valuation crash",Bangalore,"Google, Tiger Global, Snap Inc.",https://techcrunch.com/2024/sharechat-layoffs/,Verified,2015.0
Meesho (Mass Layoffs),2026,1100000000,Social Commerce,"Large-scale layoffs, profitability pressure",Bangalore,"SoftBank, Prosus, Facebook",https://inc42.com/buzz/meesho-layoffs-2026/,Verified,2015.0
Cars24,2025,900000000,Used Cars Marketplace,"International exit, heavy layoffs, valuation drop",Gurugram,"DST Global, SoftBank, Yuri Milner",https://yourstory.com/2025/cars24-crisis,Verified,2015.0
Unacademy,2025,880000000,EdTech,"Continuous layoffs, shut down group companies, pivot struggles",Bangalore,"SoftBank, General Atlantic, Tiger Global",https://entrackr.com/2025/unacademy-shutdown/,Verified,2015.0
Ola Electric (Crisis),2024,800000000,Electric Vehicles,"Service issues, regulatory problems, stock crash post-IPO",Bangalore,"SoftBank, Tiger Global",https://www.livemint.com/companies/ola-electric-troubles/,Verified,2017.0
BharatPe (Founder Exit),2024,650000000,FinTech,"Founder ousted for fraud, governance crisis, lawsuits",Delhi NCR,"Sequoia, Coatue, Tiger Global",https://inc42.com/buzz/bharatpe-ashneer-grover-crisis/,Verified,2018.0
Zetwerk (Layoffs),2025,560000000,B2B Manufacturing,"Layoffs, margin pressures",Bangalore,"Greenoaks, Lightspeed, Sequoia",https://entrackr.com/2025/zetwerk-layoffs/,Verified,2018.0
Curefit (Cult.fit),2025,550000000,Fitness / HealthTech,"Layoffs, shut down food vertical, gym closures",Bangalore,"Zomato, Tata Digital, Accel",https://entrackr.com/2025/curefit-cult-layoffs/,Verified,2016.0
Good Glamm Group (Crisis),2024,500000000,D2C Beauty / E-commerce,"Heavy debt, founder exit, brand shutdowns, layoffs",Mumbai,"Warburg Pincus, Prosus, L'Oreal",https://entrackr.com/2024/good-glamm-crisis/,Verified,2015.0
OfBusiness,2025,500000000,B2B Commerce / Lending,"Layoffs, growth slowdown",Gurugram,"SoftBank, Falcon Edge, Matrix Partners",https://entrackr.com/2025/ofbusiness-layoffs/,Verified,2016.0
Urban Company,2026,500000000,Home Services,"IPO struggles, partner unrest, layoffs",Gurugram,"Prosus, Tiger Global, Vy Capital",https://inc42.com/buzz/urban-company-2026/,Verified,2014.0
Licious (Layoffs),2024,490000000,D2C Meat Delivery,"Multiple layoff rounds, profitability struggles",Bangalore,"Temasek, Multiples PE, 3one4 Capital",https://inc42.com/buzz/licious-layoffs-2024/,Verified,2015.0
Spinny,2025,475000000,Used Cars Marketplace,"Layoffs, market slowdown, profitability pressure",Gurugram,"Tiger Global, General Catalyst, Accel",https://inc42.com/buzz/spinny-layoffs-2025/,Verified,2015.0
Dunzo,2024,450000000,Quick Commerce / Delivery,"Cash crunch, failed Reliance acquisition talks, massive layoffs",Bangalore,"Reliance Retail, Google, Lightbox",https://inc42.com/buzz/dunzo-lays-off-75-workforce-amid-cash-crunch/,Verified,2015.0
MPL (Mobile Premier League),2025,450000000,Gaming / E-sports,"GST issues, layoffs, regulatory challenges",Bangalore,"Sequoia, SIG, Go-Ventures",https://inc42.com/buzz/mpl-layoffs-2025/,Verified,2018.0
Innovaccer (Layoffs),2024,425000000,HealthTech SaaS,"Major layoffs, market challenges",San Francisco/Noida,"Tiger Global, Steadview Capital",https://yourstory.com/2024/innovaccer-layoffs,Verified,2014.0
Groww,2026,400000000,FinTech / Investment,"Regulatory pressures, growth challenges",Bangalore,"Tiger Global, Sequoia, Ribbit Capital",https://entrackr.com/2026/groww-challenges/,Verified,2016.0
NoBroker,2026,361000000,PropTech / Real Estate,"Layoffs, market slowdown, profitability issues",Bangalore,"General Atlantic, Tiger Global, BEENEXT",https://entrackr.com/2026/nobroker-layoffs/,Verified,2014.0
Rapido,2026,330000000,Ride-hailing / Bike Taxi,"Regulatory issues, profitability struggles",Bangalore,"Swiggy, TVS, Nexus",https://entrackr.com/2026/rapido-crisis/,Verified,2015.0
Zilingo,2024,300000000,Fashion E-commerce,"Accounting fraud, CEO fired, company liquidated",Singapore/India,"Sequoia, Temasek, SoftBank",https://www.forbes.com/sites/zilingo-shutdown/,Verified,2015.0
PhysicsWallah (Alakh Pandey Crisis),2025,300000000,EdTech,"Centers shutting down, layoffs, profitability issues",Noida,"WestBridge Capital, GSV Ventures",https://inc42.com/buzz/physicswallah-centers-shut/,Verified,2014.0
Mensa Brands (Crisis),2024,300000000,D2C Rollup,"Brand shutdowns, layoffs, failed acquisitions",Bangalore,"Accel, Falcon Edge, Norwest",https://entrackr.com/2024/mensa-brands-shutdowns/,Verified,2021.0
Vedantu,2025,290000000,EdTech,"Multiple layoff rounds, acqui-hire discussions",Bangalore,"GGV Capital, Tiger Global, Coatue",https://entrackr.com/2025/vedantu-crisis/,Verified,2014.0
Purplle,2025,250000000,Beauty E-commerce,"Layoffs, profitability pressure, competition from Nykaa",Mumbai,"Premji Invest, Sequoia, Goldman Sachs",https://inc42.com/buzz/purplle-layoffs/,Verified,2012.0
BluSmart,2024,200000000,Electric Mobility / Ride-hailing,"Financial irregularities, founder fraud allegations, operations suspended",Delhi NCR,"BP Ventures, Responsiblity, Green Frontier Capital",https://inc42.com/buzz/blusmart-crisis-founders-financial-fraud/,Verified,2019.0
Pocket FM,2025,200000000,Audio Entertainment,"Layoffs, unit economics challenges",Bangalore,"Lightspeed, Times Internet, Tanglin VP",https://inc42.com/buzz/pocket-fm-layoffs/,Verified,2018.0
LEAD School,2024,160000000,EdTech,"Mass layoffs, business model struggles, funding winter",Mumbai,"WestBridge Capital, Elevar Equity, GSV Ventures",https://inc42.com/buzz/lead-school-layoffs/,Verified,2012.0
Trell,2024,62000000,Social Commerce / Short Video,"Shut down app, failed pivot, couldn't compete with Instagram/YouTube",Bangalore,"Sequoia, Mirae Asset, H&M Group",https://inc42.com/buzz/trell-shuts-down-social-commerce/,Verified,2017.0
Mojocare,2024,20000000,HealthTech / Men's Health,"Shut down operations, failed to raise follow-on funding",Bangalore,"Chiratae Ventures, B Capital",https://inc42.com/buzz/mojocare-shuts-down/,Verified,2020.0
Chingari,2024,0,Unknown,Decline,India,,,Known,
Nestaway (decline),2024,0,Unknown,"Major layoffs, scaling down",India,,,Known,
Oyo Rooms (crisis),2024,0,Unknown,"Massive layoffs, valuation crash",India,,,Known,
BYJU'S (crisis),2024,0,Unknown,"Massive layoffs, valuation crash",India,,,Known,
Unacademy (layoffs),2024,0,Unknown,Multiple rounds of layoffs,India,,,Known,
Grabhouse,2024,0,Unknown,Merged with Quikr,India,,,Known,
SuperLearn,2024,0,Unknown,Shut down,India,,,Known,
Udayy,2024,0,Unknown,Shut down,India,,,Known,
Crejo.Fun,2024,0,Unknown,Shut down,India,,,Known,
Frontrow,2024,0,Unknown,Shut down,India,,,Known,
Roposo,2024,0,Unknown,Sold to Glance,India,,,Known,
ShareChat (layoffs),2024,0,Unknown,Major layoffs,India,,,Known,
Moj (owned by ShareChat),2024,0,Unknown,Layoffs with parent,India,,,Known,
Lido Learning,2024,0,Unknown,Shut down,India,,,Known,
Curefit (layoffs),2024,0,Unknown,"Layoffs, restructuring",India,,,Known,
Koo,2024,0,Unknown,Shut down,India,,,Known,
Craftsvilla,2024,0,Unknown,Major decline,India,,,Known,
YourStory (layoffs),2024,0,Unknown,Layoffs,India,,,Known,
Meesho (layoffs),2024,0,Unknown,"Layoffs, restructuring",India,,,Known,
MPL,2024,0,Unknown,Major layoffs,India,,,Known,
UrbanClap/Urban Company (layoffs),2024,0,Unknown,Layoffs,India,,,Known,
PharmEasy (crisis),2024,0,Unknown,"Major layoffs, valuation crash",India,,,Known,
GoMechanic,2024,0,Unknown,"Fraud allegations, crisis",India,,,Known,
BharatPe,2024,0,Unknown,"Founder controversy, layoffs",India,,,Known,
Pepperfry (layoffs),2024,0,Unknown,Layoffs,India,,,Known,
Furlenco (layoffs),2024,0,Unknown,Layoffs,India,,,Known,
Mobile Premier League,2024,0,Unknown,Layoffs,India,,,Known,
Housing.com (original),2024,0,Unknown,"Founder fired, merged with PropTiger",India,,,Known,
Commonfloor,2024,0,Unknown,Merged with Quikr,India,,,Known,
Eatlo,2024,0,Unknown,Competition from Swiggy/Zomato,India,,,Known,
Lybrate,2024,0,Unknown,Significant decline,India,,,Known,
HealthKart (B2C),2024,0,Unknown,Pivoted to B2B (MuscleBlaze),India,,,Known,
Snapdeal (partial),2024,0,Unknown,"Lost to Flipkart/Amazon, massive layoffs",India,,,Known,
AskMe,2024,0,Unknown,"Funding dried up, investor disputes",India,,,Known,
PepperTap,2024,0,Unknown,"Unit economics failed, shut operations",India,,,Known,
LocalBanya,2024,0,Unknown,Couldn't sustain operations,India,,,Known,
Yebhi,2024,0,Unknown,"Market competition, funding issues",India,,,Known,
Fashionara,2024,0,Unknown,Failed to compete,India,,,Known,
Doodhwala,2024,0,Unknown,Operational challenges,India,,,Known,
ShopClues (decline),2024,0,Unknown,Sold at massive loss to Qoo10,India,,,Known,
Quikr Assured,2024,0,Unknown,Service discontinued,India,,,Known,
Tolexo,2024,0,Unknown,IndiaMART shut it down,India,,,Known,
TinyOwl,2024,0,Unknown,"Merged with Runnr, then failed",India,,,Known,
Dazo,2024,0,Unknown,Bangalore operations shut,India,,,Known,
Spoonjoy,2024,0,Unknown,Couldn't scale,India,,,Known,
Zomato Instant,2024,0,Unknown,10-min delivery discontinued,India,,,Known,
Grofers (pivoted),2024,0,Unknown,"Rebranded to Blinkit, sold to Zomato",India,,,Known,
Runnr,2024,0,Unknown,Merged into Zomato,India,,,Known,
JustRide,2024,0,Unknown,Lost to Ola/Uber,India,,,Known,
Meru Cabs,2024,0,Unknown,"Massive decline, sold assets",India,,,Known,
Jugnoo,2024,0,Unknown,Failed to sustain,India,,,Known,
Zipgo,2024,0,Unknown,Shut operations,India,,,Known,
Ridlr,2024,0,Unknown,Ola sold/shut it,India,,,Known,
Stayzilla,2024,0,Unknown,"Shut down, legal troubles",India,,,Known,
Housejoy,2024,0,Unknown,Major pivot/decline,India,,,Known,
ZipDial,2024,0,Unknown,Twitter shut it down,India,,,Known,
Hike Messenger,2024,0,Unknown,Couldn't compete with WhatsApp,India,,,Known,
