year,funding,source,startup_name,failure_reason
2023,$5.8B,curated,BYJU'S (crisis),"Massive layoffs, valuation crash"
2020,$3.4B,curated,Oyo Rooms (crisis),"Massive layoffs, valuation crash"
2024,$1.9B,curated,Udaan,"Massive losses, down rounds, layoffs, pivot struggles"
2017,$1.6B,curated,Snapdeal (partial),"Lost to Flipkart/Amazon, massive layoffs"
2026,$1.3B,curated,Zepto,"Cash burn concerns, competition from Blinkit/Instamart"
2025,$1.2B,curated,Pharmeasy,"IPO shelved, valuation crashed from $5.6B to $700M, layoffs"
2026,$1.1B,curated,Meesho,"Large-scale layoffs, profitability pressure"
2024,$1.1B,curated,ShareChat,"500+ layoffs, shut down fantasy gaming, valuation crash"
2025,$900M,curated,Cars24,"International exit, heavy layoffs, valuation drop"
2025,$880M,curated,Unacademy,"Continuous layoffs, shut down group companies, pivot struggles"
2024,$800M,curated,Ola Electric,"Service issues, regulatory problems, stock crash post-IPO"
2024,$650M,curated,BharatPe,"Founder ousted for fraud, governance crisis, lawsuits"
2022,$650M,curated,Curefit (layoffs),"Layoffs, restructuring"
2021,$600M,curated,Grofers (pivoted),"Rebranded to Blinkit, sold to Zomato"
2025,$560M,curated,Zetwerk,"Layoffs, margin pressures"
2023,$500M,curated,Mobile Premier League,Layoffs
2023,$500M,curated,Dhani,"Major layoffs, pivot"
2024,$500M,curated,Good Glamm Group,"Heavy debt, founder exit, brand shutdowns, layoffs"
2025,$500M,curated,OfBusiness,"Layoffs, growth slowdown"
2026,$500M,curated,Urban Company,"IPO struggles, partner unrest, layoffs"
2024,$490M,curated,Licious,"Multiple layoff rounds, profitability struggles"
2025,$475M,curated,Spinny,"Layoffs, market slowdown, profitability pressure"
2025,$450M,curated,MPL,"GST issues, layoffs, regulatory challenges"
2024,$450M,curated,Dunzo,"Cash crunch, failed Reliance acquisition talks, massive layoffs"
2024,$425M,curated,Innovaccer,"Major layoffs, market challenges"
2022,$420M,curated,UrbanClap/Urban Company (layoffs),Layoffs
2026,$400M,curated,Groww,"Regulatory pressures, growth challenges"
