startup_name,year_died,funding_burned_usd,category,failure_reason,headquarters,investors,source,data_quality,founded
Byju's,2024,5500000000,EdTech,"Debt crisis, multiple lawsuits, insolvency proceedings, governance issues",Bangalore,"Prosus, Tiger Global, General Atlantic, Sequoia",https://economictimes.indiatimes.com/tech/startups/byjus-crisis,Verified,2011.0
Udaan,2024,1850000000,B2B E-commerce,"Massive losses, down rounds, layoffs, pivot struggles",Bangalore,"DST Global, Lightspeed, GGV Capital",https://entrackr.com/2024/udaan-struggles-layoffs/,Verified,2016.0
Zepto,2026,1300000000,Quick Commerce,"Cash burn concerns, competition from Blinkit/Instamart",Mumbai,"Y Combinator, Nexus, Glade Brook",https://inc42.com/buzz/zepto-2026-challenges/,Verified,2021.0
Pharmeasy,2025,1200000000,HealthTech / Pharmacy,"IPO shelved, valuation crashed from $5.6B to $700M, layoffs",Mumbai,"Temasek, Prosus, TPG",https://inc42.com/buzz/pharmeasy-valuation-crash/,Verified,2015.0
ShareChat (Major Crisis),2024,1100000000,Social Media,"500+ layoffs, shut down fantasy gaming, valuation crash",Bangalore,"Google, Tiger Global, Snap Inc.",https://techcrunch.com/2024/sharechat-layoffs/,Verified,2015.0
Meesho (Mass Layoffs),2026,1100000000,Social Commerce,"Large-scale layoffs, profitability pressure",Bangalore,"SoftBank, Prosus, Facebook",https://inc42.com/buzz/meesho-layoffs-2026/,Verified,2015.0
Cars24,2025,900000000,Used Cars Marketplace,"International exit, heavy layoffs, valuation drop",Gurugram,"DST Global, SoftBank, Yuri Milner",https://yourstory.com/2025/cars24-crisis,Verified,2015.0
Unacademy,2025,880000000,EdTech,"Continuous layoffs, shut down group companies, pivot struggles",Bangalore,"SoftBank, General Atlantic, Tiger Global",https://entrackr.com/2025/unacademy-shutdown/,Verified,2015.0
Ola Electric (Crisis),2024,800000000,Electric Vehicles,"Service issues, regulatory problems, stock crash post-IPO",Bangalore,"SoftBank, Tiger Global",https://www.livemint.com/companies/ola-electric-troubles/,Verified,2017.0
BharatPe (Founder Exit),2024,650000000,FinTech,"Founder ousted for fraud, governance crisis, lawsuits",Delhi NCR,"Sequoia, Coatue, Tiger Global",https://inc42.com/buzz/bharatpe-ashneer-grover-crisis/,Verified,2018.0
Zetwerk (Layoffs),2025,560000000,B2B Manufacturing,"Layoffs, margin pressures",Bangalore,"Greenoaks, Lightspeed, Sequoia",https://entrackr.com/2025/zetwerk-layoffs/,Verified,2018.0
Curefit (Cult.fit),2025,550000000,Fitness / HealthTech,"Layoffs, shut down food vertical, gym closures",Bangalore,"Zomato, Tata Digital, Accel",https://entrackr.com/2025/curefit-cult-layoffs/,Verified,2016.0
Good Glamm Group (Crisis),2024,500000000,D2C Beauty / E-commerce,"Heavy debt, founder exit, brand shutdowns, layoffs",Mumbai,"Warburg Pincus, Prosus, L'Oreal",https://entrackr.com/2024/good-glamm-crisis/,Verified,2015.0
Grofers (Rebranded),2021,500000000,Grocery Delivery,Massive pivot to Blinkit after years of losses,Gurugram,"SoftBank, Tiger Global, Sequoia",News reports,Verified,2013.0
OfBusiness,2025,500000000,B2B Commerce / Lending,"Layoffs, growth slowdown",Gurugram,"SoftBank, Falcon Edge, Matrix Partners",https://entrackr.com/2025/ofbusiness-layoffs/,Verified,2016.0
Urban Company,2026,500000000,Home Services,"IPO struggles, partner unrest, layoffs",Gurugram,"Prosus, Tiger Global, Vy Capital",https://inc42.com/buzz/urban-company-2026/,Verified,2014.0
Licious (Layoffs),2024,490000000,D2C Meat Delivery,"Multiple layoff rounds, profitability struggles",Bangalore,"Temasek, Multiples PE, 3one4 Capital",https://inc42.com/buzz/licious-layoffs-2024/,Verified,2015.0
Spinny,2025,475000000,Used Cars Marketplace,"Layoffs, market slowdown, profitability pressure",Gurugram,"Tiger Global, General Catalyst, Accel",https://inc42.com/buzz/spinny-layoffs-2025/,Verified,2015.0
Dunzo,2024,450000000,Quick Commerce / Delivery,"Cash crunch, failed Reliance acquisition talks, massive layoffs",Bangalore,"Reliance Retail, Google, Lightbox",https://inc42.com/buzz/dunzo-lays-off-75-workforce-amid-cash-crunch/,Verified,2015.0
MPL (Mobile Premier League),2025,450000000,Gaming / E-sports,"GST issues, layoffs, regulatory challenges",Bangalore,"Sequoia, SIG, Go-Ventures",https://inc42.com/buzz/mpl-layoffs-2025/,Verified,2018.0
Innovaccer (Layoffs),2024,425000000,HealthTech SaaS,"Major layoffs, market challenges",San Francisco/Noida,"Tiger Global, Steadview Capital",https://yourstory.com/2024/innovaccer-layoffs,Verified,2014.0
Groww,2026,400000000,FinTech / Investment,"Regulatory pressures, growth challenges",Bangalore,"Tiger Global, Sequoia, Ribbit Capital",https://entrackr.com/2026/groww-challenges/,Verified,2016.0
NoBroker,2026,361000000,PropTech / Real Estate,"Layoffs, market slowdown, profitability issues",Bangalore,"General Atlantic, Tiger Global, BEENEXT",https://entrackr.com/2026/nobroker-layoffs/,Verified,2014.0
Rapido,2026,330000000,Ride-hailing / Bike Taxi,"Regulatory issues, profitability struggles",Bangalore,"Swiggy, TVS, Nexus",https://entrackr.com/2026/rapido-crisis/,Verified,2015.0
Zilingo,2024,300000000,Fashion E-commerce,"Accounting fraud, CEO fired, company liquidated",Singapore/India,"Sequoia, Temasek, SoftBank",https://www.forbes.com/sites/zilingo-shutdown/,Verified,2015.0
AskMe,2016,300000000,Local Search / E-commerce,"Investor Astro Holdings pulled out, massive shutdown",Delhi NCR,"Astro Holdings, Helion Ventures",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms,Verified,2010.0
PhysicsWallah (Alakh Pandey Crisis),2025,300000000,EdTech,"Centers shutting down, layoffs, profitability issues",Noida,"WestBridge Capital, GSV Ventures",https://inc42.com/buzz/physicswallah-centers-shut/,Verified,2014.0
Mensa Brands (Crisis),2024,300000000,D2C Rollup,"Brand shutdowns, layoffs, failed acquisitions",Bangalore,"Accel, Falcon Edge, Norwest",https://entrackr.com/2024/mensa-brands-shutdowns/,Verified,2021.0
WhiteHat Jr (Crisis),2022,300000000,EdTech,"Byju's acquisition led to layoffs, brand struggling",Mumbai,"Byju's, Nexus, Omidyar",News reports,Verified,2018.0
Vedantu,2025,290000000,EdTech,"Multiple layoff rounds, acqui-hire discussions",Bangalore,"GGV Capital, Tiger Global, Coatue",https://entrackr.com/2025/vedantu-crisis/,Verified,2014.0
Vedantu (Layoffs),2022,290000000,EdTech,"Mass layoffs, funding crunch, pivot attempts",Bangalore,"GGV, Tiger Global, Coatue",News reports,Verified,2014.0
Purplle,2025,250000000,Beauty E-commerce,"Layoffs, profitability pressure, competition from Nykaa",Mumbai,"Premji Invest, Sequoia, Goldman Sachs",https://inc42.com/buzz/purplle-layoffs/,Verified,2012.0
Jabong,2018,220000000,Fashion E-commerce,Brand discontinued after Flipkart acquisition of Myntra,Gurugram,"Rocket Internet, CDC Group",News reports,Verified,2012.0
Pocket FM,2025,200000000,Audio Entertainment,"Layoffs, unit economics challenges",Bangalore,"Lightspeed, Times Internet, Tanglin VP",https://inc42.com/buzz/pocket-fm-layoffs/,Verified,2018.0
Taxiforsure,2017,200000000,Ride-hailing,"Acquired by Ola for $200M, brand discontinued",Bangalore,"Accel, Bessemer, Helion",News reports,Verified,2011.0
BluSmart,2024,200000000,Electric Mobility / Ride-hailing,"Financial irregularities, founder fraud allegations, operations suspended",Delhi NCR,"BP Ventures, Responsiblity, Green Frontier Capital",https://inc42.com/buzz/blusmart-crisis-founders-financial-fraud/,Verified,2019.0
Uber Eats India,2020,200000000,Food Delivery,"Sold to Zomato, exited India food delivery market",Bangalore,Uber,News reports,Verified,2017.0
LEAD School,2024,160000000,EdTech,"Mass layoffs, business model struggles, funding winter",Mumbai,"WestBridge Capital, Elevar Equity, GSV Ventures",https://inc42.com/buzz/lead-school-layoffs/,Verified,2012.0
Droom (IPO Failed),2019,125000000,Auto E-commerce,"IPO shelved multiple times, heavy losses",Gurugram,"Lightbox, Beenext, Toyota",News reports,Verified,2014.0
Housing.com (Crisis),2015,120000000,PropTech / Real Estate,"CEO Rahul Yadav fired, company later sold to Proptech group",Mumbai,"SoftBank, Falcon Edge, Helion",News reports,Verified,2012.0
Foodpanda India,2020,100000000,Food Delivery,"Ola sold Foodpanda, couldn't compete with Swiggy/Zomato",Gurugram,"Rocket Internet, Ola",News reports,Verified,2012.0
Trell,2024,62000000,Social Commerce / Short Video,"Shut down app, failed pivot, couldn't compete with Instagram/YouTube",Bangalore,"Sequoia, Mirae Asset, H&M Group",https://inc42.com/buzz/trell-shuts-down-social-commerce/,Verified,2017.0
PepperTap,2016,51000000,Grocery Delivery,"Hyperlocal grocery model unsustainable, shut down operations",Gurugram,"Sequoia Capital, SAIF Partners, Snapdeal",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms,Verified,2014.0
Yepme,2018,50000000,Fashion E-commerce,"Failed to compete, shifted to B2B model",Gurugram,"Helion, Nexus VP",News reports,Verified,2011.0
Stayzilla,2017,34000000,Travel / Homestays,"Shut down amid legal troubles, founder arrested",Chennai,"Matrix Partners, Nexus VP",News reports,Verified,2005.0
FrontRow,2023,30000000,EdTech,Celebrity learning platform shut down,Bangalore,"GSV, Lightspeed, Eight Roads",News reports,Verified,2020.0
Staples India,2019,30000000,Office Supplies E-commerce,Shut Indian operations after years of losses,Delhi NCR,Staples Inc,News reports,Verified,2011.0
TinyOwl,2016,27000000,Food Delivery,"Acquired by Runnr after massive layoffs, effectively shut",Mumbai,"Sequoia Capital, Matrix Partners, Nexus VP",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms,Verified,2014.0
Mojocare,2024,20000000,HealthTech / Men's Health,"Shut down operations, failed to raise follow-on funding",Bangalore,"Chiratae Ventures, B Capital",https://inc42.com/buzz/mojocare-shuts-down/,Verified,2020.0
Flipkart Ping,2016,20000000,Social Messaging,Flipkart's social chat feature discontinued,Bangalore,Flipkart (Internal),https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms,Verified,2015.0
Lido Learning,2023,20000000,EdTech,Shut operations amid EdTech crash,Mumbai,"Ronnie Screwvala, BAce Capital",News reports,Verified,2019.0
LocalBanya,2016,10000000,Grocery Delivery,"Ran out of funds, couldn't compete in hyperlocal space",Mumbai,Kalaari Capital,https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms,Verified,2012.0
Fashionara,2016,9000000,Fashion E-commerce,"Failed to compete with Myntra, Jabong; shut down",Bangalore,"Helion Ventures, Accel Partners",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms,Verified,2012.0
Dazo,2016,5000000,Food Delivery,Food delivery startup shut down amid intense competition,Bangalore,"Matrix Partners, Flipkart co-founders",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms,Verified,2015.0
