year,funding,source,startup_name,failure_reason
2023,$5.8B,Inc42,BYJU'S (crisis),"Massive layoffs, valuation crash"
2020,$3.4B,Economic Times,Oyo Rooms (crisis),"Massive layoffs, valuation crash"
2024,$1.9B,Entrackr,Udaan,"Massive losses, down rounds, layoffs, pivot struggles"
2017,$1.65B,Economic Times,Snapdeal (partial),"Lost to Flipkart/Amazon, massive layoffs"
2026,$1.3B,Inc42,Zepto,"Cash burn concerns, competition from Blinkit/Instamart"
2025,$1.2B,Inc42,Pharmeasy,"IPO shelved, valuation crashed from $5.6B to $700M, layoffs"
2026,$1.1B,Inc42,Meesho (Mass Layoffs),"Large-scale layoffs, profitability pressure"
2024,$915M,TechCrunch,ShareChat (layoffs),Major layoffs
2025,$900M,YourStory,Cars24,"International exit, heavy layoffs, valuation drop"
2022,$860M,Entrackr,Unacademy (layoffs),Multiple rounds of layoffs
2024,$800M,LiveMint,Ola Electric (Crisis),"Service issues, regulatory problems, stock crash post-IPO"
2024,$650M,Inc42,BharatPe (Founder Exit),"Founder ousted for fraud, governance crisis, lawsuits"
2022,$650M,Entrackr,Curefit (layoffs),"Layoffs, restructuring"
2021,$600M,News Reports,Grofers (pivoted),"Rebranded to Blinkit, sold to Zomato"
2025,$560M,Entrackr,Zetwerk (Layoffs),"Layoffs, margin pressures"
2023,$500M,Inc42,Mobile Premier League,Layoffs
2023,$500M,Inc42,Dhani,"Major layoffs, pivot"
2024,$500M,Entrackr,Good Glamm Group (Crisis),"Heavy debt, founder exit, brand shutdowns, layoffs"
2025,$500M,Entrackr,OfBusiness,"Layoffs, growth slowdown"
2026,$500M,Inc42,Urban Company,"IPO struggles, partner unrest, layoffs"
2024,$490M,Inc42,Licious (Layoffs),"Multiple layoff rounds, profitability struggles"
2025,$475M,Inc42,Spinny,"Layoffs, market slowdown, profitability pressure"
2024,$450M,Inc42,Dunzo,"Cash crunch, failed Reliance acquisition talks, massive layoffs"
2025,$450M,Inc42,MPL (Mobile Premier League),"GST issues, layoffs, regulatory challenges"
2024,$425M,YourStory,Innovaccer (Layoffs),"Major layoffs, market challenges"
2022,$420M,Inc42,UrbanClap/Urban Company (layoffs),Layoffs
2026,$400M,Entrackr,Groww,"Regulatory pressures, growth challenges"
2026,$361M,Entrackr,NoBroker,"Layoffs, market slowdown, profitability issues"
2026,$330M,Entrackr,Rapido,"Regulatory issues, profitability struggles"
2016,$300M,Economic Times,AskMe,"Funding dried up, investor disputes"
2022,$300M,News Reports,WhiteHat Jr (Crisis),"Byju's acquisition led to layoffs, brand struggling"
2024,$300M,Entrackr,Mensa Brands (Crisis),"Brand shutdowns, layoffs, failed acquisitions"
2024,$300M,Forbes,Zilingo,"Accounting fraud, CEO fired, company liquidated"
2025,$300M,Inc42,PhysicsWallah (Alakh Pandey Crisis),"Centers shutting down, layoffs, profitability issues"
2022,$291M,News Reports,Vedantu (Layoffs),Major layoffs
2021,$261M,News Reports,Hike Messenger,Couldn't compete with WhatsApp
